anonym_id,log10,inhib_col
Analog 13,3.9995654882259823,70.70271
Analog 13,3.39776625612645,64.34016
Analog 13,2.793161529245551,44.21391
Analog 13,2.198931869932209,6.5807157
Analog 13,1.6196150057428065,8.082237
Analog 13,0.9847972570892928,6.2288427
Analog 13,0.3821972103774537,-1.4697396
Analog 13,-0.23433144524098592,8.176604
Analog 13,-0.7783250029292312,4.2825937
Analog 13,-1.418050341626682,1.5559856
Analog 14,3.9995654882259823,-5.487151
Analog 14,3.39776625612645,-7.2432494
Analog 14,2.793161529245551,-3.6878061
Analog 14,2.198931869932209,-7.037141
Analog 14,1.6196150057428065,-8.793483
Analog 14,0.9847972570892928,-1.8600978
Analog 14,0.3821972103774537,-5.468669
Analog 14,-0.23433144524098592,-3.7942455
Analog 14,-0.7783250029292312,-8.393954
Analog 14,-1.418050341626682,-8.530038
Analog 15,3.9995654882259823,-5.43757
Analog 15,3.39776625612645,-2.1849089
Analog 15,2.793161529245551,-8.423123
Analog 15,2.198931869932209,-8.660264
Analog 15,1.6196150057428065,2.7657855
Analog 15,0.9847972570892928,-2.7747521
Analog 15,0.3821972103774537,-7.306675
Analog 15,-0.23433144524098592,-2.281889
Analog 15,-0.7783250029292312,0.62367404
Analog 15,-1.418050341626682,-5.2360597
Analog 16,3.9995654882259823,-6.5065618
Analog 16,3.39776625612645,-7.469908
Analog 16,2.793161529245551,-17.258657
Analog 16,2.198931869932209,-7.8576603
Analog 16,1.6196150057428065,-5.304076
Analog 16,0.9847972570892928,-6.278155
Analog 16,0.3821972103774537,-9.97638
Analog 16,-0.23433144524098592,-7.533634
Analog 16,-0.7783250029292312,-7.9902053
Analog 16,-1.418050341626682,-9.862207
Analog 17,3.9995654882259823,-2.4919994
Analog 17,3.39776625612645,1.2044828
Analog 17,2.793161529245551,-3.9506826
Analog 17,2.198931869932209,-0.1468302
Analog 17,1.6196150057428065,3.59311
Analog 17,0.9847972570892928,4.0025425
Analog 17,0.3821972103774537,-5.167102
Analog 17,-0.23433144524098592,-0.17574428
Analog 17,-0.7783250029292312,-5.7410955
Analog 17,-1.418050341626682,-7.6389947
Reference B,3.9995654882259823,81.561424
Reference B,3.39776625612645,81.96786
Reference B,2.793161529245551,78.91402
Reference B,2.198931869932209,76.43037
Reference B,1.6196150057428065,49.584675
Reference B,0.9847972570892928,33.74067
Reference B,0.3821972103774537,-0.9904413
Reference B,-0.23433144524098592,-6.557314
Reference B,-0.7783250029292312,-6.7183867
Reference B,-1.418050341626682,-5.264518
Analog 19,3.9995654882259823,79.236244
Analog 19,3.39776625612645,90.63555
Analog 19,2.793161529245551,92.969666
Analog 19,2.198931869932209,91.43801
Analog 19,1.6196150057428065,90.7615
Analog 19,0.9847972570892928,81.712326
Analog 19,0.3821972103774537,49.309044
Analog 19,-0.23433144524098592,36.012383
Analog 19,-0.7783250029292312,0.5788737
Analog 19,-1.418050341626682,-8.378937
Analog 20,3.9995654882259823,96.05548
Analog 20,3.39776625612645,96.436195
Analog 20,2.793161529245551,95.40269
Analog 20,2.198931869932209,67.9042
Analog 20,1.6196150057428065,64.94398
Analog 20,0.9847972570892928,43.253628
Analog 20,0.3821972103774537,-2.003384
Analog 20,-0.23433144524098592,-5.6346893
Analog 20,-0.7783250029292312,-3.9345138
Analog 20,-1.418050341626682,-4.8018613
Analog 21,3.9995654882259823,35.054424
Analog 21,3.39776625612645,0.11442391
Analog 21,2.793161529245551,-11.469638
Analog 21,2.198931869932209,-1.237677
Analog 21,1.6196150057428065,-1.9798893
Analog 21,0.9847972570892928,3.3634984
Analog 21,0.3821972103774537,-3.6947489
Analog 21,-0.23433144524098592,-5.582964
Analog 21,-0.7783250029292312,-2.6353357
Analog 21,-1.418050341626682,-3.4632556
Analog 22,3.9995654882259823,25.749872
Analog 22,3.39776625612645,12.617054
Analog 22,2.793161529245551,-9.89149
Analog 22,2.198931869932209,-13.23918
Analog 22,1.6196150057428065,-7.813598
Analog 22,0.9847972570892928,-4.3257675
Analog 22,0.3821972103774537,-11.267529
Analog 22,-0.23433144524098592,-3.9634001
Analog 22,-0.7783250029292312,-10.333946
Analog 22,-1.418050341626682,-6.95738
Analog 23,3.9995654882259823,2.8264322
Analog 23,3.39776625612645,-1.1464502
Analog 23,2.793161529245551,-1.2432004
